,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-15 01:03:16, 1 min 45.505 sec,0.0,1700.4367534883559,1339.121250766205,2891485.1526140193,1705.2418612910303,1348.6874384915636,2907849.805499297
1,,2018-10-15 01:03:16, 1 min 45.538 sec,5.0,1327.143314561716,1022.4935027669403,1761309.3773858575,1347.3429803506874,1029.0694069248498,1815333.1067002728
2,,2018-10-15 01:03:16, 1 min 45.568 sec,10.0,1161.9534093874074,870.4771681241158,1350135.72558702,1197.337499113321,880.8513807492261,1433617.0867829418
3,,2018-10-15 01:03:16, 1 min 45.595 sec,15.0,1087.7274848059049,793.4204307377571,1183151.0812021801,1134.0773450118832,813.1799564413227,1286131.4244692018
4,,2018-10-15 01:03:16, 1 min 45.622 sec,20.0,1049.5989091151985,751.246613297878,1101657.8700158144,1111.046853260608,785.0342166145352,1234425.1101402992
5,,2018-10-15 01:03:17, 1 min 45.649 sec,25.0,1028.9059549461388,727.6841691789764,1058647.4641236258,1104.1719348123024,775.0385213588729,1219195.6616271436
6,,2018-10-15 01:03:17, 1 min 45.676 sec,30.0,1018.9455242730021,715.532753652962,1038249.9814359832,1104.6800150492118,771.5436278015903,1220317.9356491265
7,,2018-10-15 01:03:17, 1 min 45.705 sec,35.0,1000.1272089991654,696.8793665547365,1000254.4341804603,1107.355519109286,772.2777725327181,1226236.2457017964
8,,2018-10-15 01:03:17, 1 min 45.735 sec,40.0,987.5608825987534,685.2479011786155,975276.4968392288,1106.3020069784218,770.9373537734322,1223904.130644484
9,,2018-10-15 01:03:17, 1 min 45.766 sec,45.0,977.2155853588174,675.3804801813337,954950.3002681761,1108.332986227076,772.3609733419729,1228402.0083590276
10,,2018-10-15 01:03:17, 1 min 45.781 sec,47.0,973.739569580084,672.7305574976731,948168.7493660072,1107.0118667346412,771.3585599517711,1225475.2730913148
