,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
1,StackedEnsemble_BestOfFamily_0_AutoML_20181015_010028,1185064.4378728508,1088.6066497467534,1185064.4378728508,770.973615835895,0.5690979556617725
2,GBM_grid_0_AutoML_20181015_010028_model_16,1193800.4734437643,1092.6117670260396,1193800.4734437643,771.3689329236003,
3,DeepLearning_0_AutoML_20181015_010028,1194260.4837707372,1092.8222562570443,1194260.4837707372,769.0905532806768,
9,XRT_0_AutoML_20181015_010028,1257682.4826992752,1121.4644366627392,1257682.4826992752,792.4143180220053,0.5662698721690007
14,DRF_0_AutoML_20181015_010028,1307966.6636787928,1143.6637021776955,1307966.6636787928,799.508418320129,0.5600079910159472
26,GLM_grid_0_AutoML_20181015_010028_model_0,2892201.2662150287,1700.6473080021703,2892201.2662150287,1339.3535096029298,1.0892010828728882
