,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-15 01:00:59,16.555 sec,0.0,,,,,,
1,,2018-10-15 01:01:00,16.782 sec,1.0,1480.2217418161765,1038.767498355256,2191056.4049453153,1471.3976433682146,1029.8172090950832,2165011.024909536
2,,2018-10-15 01:01:00,16.979 sec,2.0,1462.282580342181,1022.9770941187123,2138270.3447721875,1284.5630378174594,900.6068563871486,1650102.19812682
3,,2018-10-15 01:01:00,17.157 sec,3.0,1421.104032376278,991.5603321464572,2019536.6708361171,1237.9853140388184,870.1804388500884,1532607.6377757916
4,,2018-10-15 01:01:00,17.389 sec,4.0,1379.839282491993,966.7936193490115,1903956.445508018,1206.6690520969123,846.4953632707237,1456050.201288461
5,,2018-10-15 01:01:00,17.613 sec,5.0,1346.8078037230455,939.5708479306691,1813891.2601692935,1182.5358681894393,826.8071211297024,1398391.0795545508
6,,2018-10-15 01:01:01,17.803 sec,6.0,1327.268548363516,923.2880727380045,1761641.7994749951,1162.5741926281255,811.1942445283295,1351578.7533649376
7,,2018-10-15 01:01:01,17.918 sec,7.0,1316.562207005198,921.1916750210254,1733336.0449143979,1161.7767202087482,818.4132856930822,1349725.1476189962
8,,2018-10-15 01:01:01,18.137 sec,8.0,1301.1771875912602,916.1731745766721,1693062.0735079015,1156.0674478420508,816.1481088512046,1336491.9439600327
9,,2018-10-15 01:01:01,18.378 sec,9.0,1284.5560596138419,903.1422373131214,1650084.2702906402,1150.4686930628538,813.3216105447447,1323578.2137177512
10,,2018-10-15 01:01:01,18.603 sec,10.0,1260.730079836501,890.5814281205431,1589440.3342045501,1146.8070657043636,809.2830586541083,1315166.4459494525
11,,2018-10-15 01:01:02,18.821 sec,11.0,1244.8366631858896,878.4927990103805,1549618.31801178,1145.054469607481,805.3475015361522,1311149.7383680695
12,,2018-10-15 01:01:02,19.017 sec,12.0,1228.4226275841315,866.8839420849904,1509022.1519607017,1141.266828377725,805.9336046497453,1302489.9735553514
13,,2018-10-15 01:01:02,19.225 sec,13.0,1220.8499771029935,860.2678281777474,1490474.6665923796,1140.773670742007,803.0645053148073,1301364.567858193
14,,2018-10-15 01:01:02,19.419 sec,14.0,1207.065713297186,851.7143239178297,1457007.6362176447,1139.9616196273805,801.8125126596236,1299512.4942234808
15,,2018-10-15 01:01:02,19.581 sec,15.0,1197.9013272742548,844.7669727358926,1434967.5898854213,1136.360771276925,798.6627118681492,1291315.802497088
16,,2018-10-15 01:01:03,19.810 sec,16.0,1191.0853637514003,838.8170893780585,1418684.3437428055,1133.012254936909,797.4777843096564,1283716.7698372188
17,,2018-10-15 01:01:03,20.012 sec,17.0,1183.5725385139222,833.3772721658054,1400843.9539242897,1131.2980341085834,797.7211287015604,1279835.2419779457
18,,2018-10-15 01:01:03,20.195 sec,18.0,1181.0838735072514,830.7433838804263,1394959.116258893,1134.264690602806,798.4711541434484,1286556.388348279
