,model_id,auc,logloss,mean_per_class_error,rmse,mse
1,StackedEnsemble_BestOfFamily_0_AutoML_20181012_164713,0.8199778308141805,0.4265978079761373,0.26213662040096963,0.3717555600368763,0.13820219641833156
2,XRT_0_AutoML_20181012_164713,0.8135071926123932,0.4430516701852101,0.26792154471137264,0.3772703733166693,0.14233293458249896
3,DRF_0_AutoML_20181012_164713,0.8044214490736926,0.45963954228276094,0.27687071949563674,0.37846633659011697,0.14323676793194373
4,GBM_grid_0_AutoML_20181012_164713_model_0,0.7947065535484775,0.4487951465291593,0.2852984589338609,0.38229310603298666,0.1461480189203484
8,GLM_grid_0_AutoML_20181012_164713_model_0,0.7627795765419366,0.4722788587497639,0.3060014952306217,0.3948554451000835,0.15591082252518507
