,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-15 16:25:03,38.046 sec,0.0,,,,,,
1,,2018-10-15 16:25:04,38.319 sec,1.0,1504.373976629216,1043.1495871816792,2263141.0615592008,1465.5450293963345,1033.7732988735402,2147822.2331883027
2,,2018-10-15 16:25:04,38.577 sec,2.0,1451.9570951661833,995.9010399749104,2108179.406203421,1312.7121377983285,926.483735491409,1723213.1567230576
3,,2018-10-15 16:25:04,38.857 sec,3.0,1419.9892499537955,971.0412479394821,2016369.4699843423,1255.7762996278286,883.7793200125101,1576974.1147069621
4,,2018-10-15 16:25:04,39.101 sec,4.0,1392.199507905385,954.3216731625091,1938219.4698119962,1204.1001732827187,855.9459489283327,1449857.2272994735
5,,2018-10-15 16:25:05,39.344 sec,5.0,1374.343470843499,940.6373665124745,1888819.9758501558,1183.737644082356,839.2198682407177,1401234.8100176463
6,,2018-10-15 16:25:05,39.619 sec,6.0,1345.6290865049943,924.25232829008,1810717.6384482654,1164.3473373232769,824.4140995301614,1355704.7219318047
7,,2018-10-15 16:25:05,39.802 sec,7.0,1319.9297009223314,912.1160543280517,1742214.4153769154,1150.9534261661215,813.70947307814,1324693.789203534
8,,2018-10-15 16:25:05,40.035 sec,8.0,1296.3684805456764,897.084967306314,1680571.2373523058,1140.6750733340282,806.5250539505619,1301139.6229255907
9,,2018-10-15 16:25:06,40.336 sec,9.0,1279.9267884299898,887.52565775879,1638212.5837407075,1136.8265227517452,802.1339844460152,1292374.5428318242
10,,2018-10-15 16:25:06,40.559 sec,10.0,1253.235977217417,872.7104353994445,1570600.414592094,1131.10373800145,795.9794324094659,1279395.6661208526
11,,2018-10-15 16:25:06,40.811 sec,11.0,1238.7585922827334,863.3283363598184,1534522.8499542992,1127.7387837725255,795.7685056162699,1271794.7644247352
12,,2018-10-15 16:25:06,41.070 sec,12.0,1223.817138949689,852.6881268156936,1497728.3895870026,1125.717657941539,794.4584433407513,1267240.245401384
13,,2018-10-15 16:25:07,41.375 sec,13.0,1211.224488657735,843.4839303505767,1467064.7619241916,1122.8757362310096,793.4787885930069,1260849.919016332
14,,2018-10-15 16:25:07,41.578 sec,14.0,1200.0382566000224,834.5703034925627,1440091.817303621,1123.222839575071,794.1958302534985,1261629.5473430855
15,,2018-10-15 16:25:07,41.836 sec,15.0,1191.7075968801355,830.2008695790717,1420166.9964618278,1121.86599772654,792.109086845833,1258583.316854965
16,,2018-10-15 16:25:07,42.026 sec,16.0,1182.0509218503935,824.6380123317863,1397244.381847365,1120.3423489618394,791.3318043873873,1255166.9788773318
17,,2018-10-15 16:25:11,45.488 sec,28.0,1146.0513060550386,799.4700845780112,1313433.5961104596,1110.349188978987,783.8775561028814,1232875.3214662944
