,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
1,GBM_grid_0_AutoML_20181015_162406_model_12,1179801.9264264572,1086.1868745416036,1179801.9264264572,762.4753349408207,0.5503213009510398
2,StackedEnsemble_BestOfFamily_0_AutoML_20181015_162406,1191154.0450012223,1091.4000389413693,1191154.0450012223,770.1038087340364,0.5637336130392226
12,DeepLearning_0_AutoML_20181015_162406,1248706.7295774245,1117.4554709595475,1248706.7295774245,800.7639982291705,0.5851400713346089
14,XRT_0_AutoML_20181015_162406,1268780.3914015172,1126.4015231708086,1268780.3914015172,789.8925315704857,0.5570145657105563
18,DRF_0_AutoML_20181015_162406,1309372.6042727958,1144.2782023060631,1309372.6042727958,797.4212592632002,0.5562499167389097
36,GLM_grid_0_AutoML_20181015_162406_model_0,2935313.3089344813,1713.2756079902854,2935313.3089344813,1349.8796040602651,1.0876105427556801
