,model_id,mean_per_class_error,logloss,rmse,mse
0,GBM_grid_0_AutoML_20181015_012610_model_31,0.053510938466961165,0.07815198250468221,0.14648118732223026,0.02145673823933029
1,StackedEnsemble_BestOfFamily_0_AutoML_20181015_012610,0.05561432158644575,0.07835248443234552,0.14130203819493667,0.019966265998043343
45,DRF_0_AutoML_20181015_012610,0.18185471068533432,0.1743774627979558,0.2252680153671517,0.05074567874745529
56,XRT_0_AutoML_20181015_012610,0.2423854866416605,0.22328197583408,0.25775866267656433,0.06643952818481087
60,GLM_grid_0_AutoML_20181015_012610_model_0,0.25020259619354074,0.2885392278446584,0.3143257459749301,0.0988006745826963
69,DeepLearning_0_AutoML_20181015_012610,0.4903339487223111,0.2546992163996675,0.29400449883806323,0.08643864533702074
