,,0,1,Error,Rate
0,0,23082.0,1292.0,0.053, (1292.0/24374.0)
1,1,1622.0,6230.0,0.2066, (1622.0/7852.0)
2,Total,24704.0,7522.0,0.0904, (2914.0/32226.0)
