,model_id,auc,logloss,mean_per_class_error,rmse,mse
1,StackedEnsemble_BestOfFamily_0_AutoML_20181015_002205,0.8222490369237976,0.4243869307789182,0.2567562785913737,0.3700199475031761,0.1369147615502533
2,XRT_0_AutoML_20181015_002205,0.8125267393443176,0.4432481482425625,0.26791923247678673,0.37785057556211865,0.14277105745262433
3,DRF_0_AutoML_20181015_002205,0.807931919387808,0.44969020087983547,0.2702371926926971,0.3769835603296428,0.14211660475881344
4,GBM_grid_0_AutoML_20181015_002205_model_2,0.7966056634803854,0.44773889075126494,0.2786747816888636,0.3807791843811448,0.14499278725796985
9,DeepLearning_0_AutoML_20181015_002205,0.7660221315139133,0.474173037166989,0.30375097275304963,0.3952901569929791,0.15625430821553407
10,GLM_grid_0_AutoML_20181015_002205_model_0,0.7628121927522629,0.4739483150814608,0.30641892446880065,0.3948467710873459,0.15590397263810296
