,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2018-10-15 00:22:51,45.189 sec,0.0,,,,,,,,,,
1,,2018-10-15 00:22:51,45.432 sec,1.0,0.5161383234843924,8.129164575948845,0.6126377912213312,1.6723955057114681,0.3113690679412769,0.515110639495717,8.058323930672296,0.6150108035056769,1.7257638818062233,0.30941250789639924
2,,2018-10-15 00:22:51,45.630 sec,2.0,0.49866534292903025,7.0288906151782475,0.6273949419568161,1.8207257049534025,0.2989218188447315,0.4499989071982651,3.53921160471483,0.6782420030038722,2.17554195845981,0.32305748578648136
3,,2018-10-15 00:22:51,45.826 sec,3.0,0.47974495954286295,5.533389144333111,0.6383581307782774,1.8639118368532714,0.30440991180176397,0.42446327608809564,1.6997187085644239,0.7076223902289269,2.542073484069887,0.3574226152874289
4,,2018-10-15 00:22:52,46.032 sec,4.0,0.47082118199400697,4.830801532603018,0.6480042602049014,1.8791804898327924,0.32149365864544205,0.41376372441952863,1.2070223531306428,0.7254214434737063,2.711545049674546,0.3744788376500316
5,,2018-10-15 00:22:52,46.252 sec,5.0,0.45901966543815637,4.126883450527281,0.6660181782840675,1.9363971171592493,0.3262931929921751,0.4071575988706653,0.8751535918668811,0.7412702870276834,2.9488052415210686,0.29879974731522424
6,,2018-10-15 00:22:52,46.443 sec,6.0,0.4493309101937944,3.5337261843896277,0.6775580215324769,1.9890220858940035,0.3345669133826765,0.4024906071621611,0.7251321216341744,0.7492835973185887,2.745439362795478,0.32659507264687304
7,,2018-10-15 00:22:52,46.640 sec,7.0,0.44127392842753965,3.033727855673316,0.6902784833855159,2.0371601830278734,0.3404006623591675,0.39906409276710125,0.6454207563396329,0.7579524012123618,2.862186441323132,0.33493367024636767
8,,2018-10-15 00:22:52,46.843 sec,8.0,0.43419987600683374,2.6177212379224013,0.7015938483300613,2.1210777767069158,0.3070046612604559,0.3955281084829455,0.5917495191186051,0.7670165760506019,2.897963771839671,0.331396083385976
9,,2018-10-15 00:22:53,47.017 sec,9.0,0.4268505907095631,2.1901396402991673,0.7114284729599468,2.2080953785380415,0.32561006448349983,0.3925735179274831,0.576611607857246,0.7726500847045122,2.999646711202467,0.27656348704990524
10,,2018-10-15 00:22:53,47.226 sec,10.0,0.4222938312885254,1.9514402208286288,0.7179459645510352,2.2469334197811017,0.32481453539544825,0.39133553115273695,0.5627385296055889,0.776129994695099,2.9488052415210686,0.29058749210360074
11,,2018-10-15 00:22:53,47.449 sec,11.0,0.41727605434069637,1.742832806880222,0.7265152308140495,2.295390167194902,0.3300300112542203,0.39010219778195054,0.5477042505168159,0.7795090495824867,3.063041630187913,0.2769425142135186
12,,2018-10-15 00:22:53,47.657 sec,12.0,0.412522669001493,1.5087382873561461,0.7343070271052847,2.396151405797676,0.33022545137048237,0.3887760781049179,0.5092881962268391,0.7830789242191198,3.15217112024666,0.2698673404927353
13,,2018-10-15 00:22:54,47.870 sec,13.0,0.4093212147106196,1.3454797173218151,0.7389171570827034,2.454975767291218,0.33001338354757387,0.3875654505544387,0.5060425891241707,0.7858502227249147,2.999646711202467,0.26266582438408087
14,,2018-10-15 00:22:54,48.092 sec,14.0,0.4068716279547509,1.2242378858921807,0.7423709107011032,2.4450417836355554,0.29393845197388874,0.38673574700336205,0.5002729751419424,0.7871774810484523,3.0042686629916844,0.27605811749842074
15,,2018-10-15 00:22:54,48.306 sec,15.0,0.4040630492064298,1.0985188956342091,0.7479252846253115,2.5401211816893325,0.32209970492312473,0.38617879661664634,0.49487131644527155,0.7885447284419311,2.9488052415210686,0.27719519898926087
16,,2018-10-15 00:22:54,48.526 sec,16.0,0.4020966538649454,1.00971102482198,0.7508448268964936,2.6429376909355584,0.31995281115147,0.3853599068357181,0.48908965658081066,0.7904513763041214,3.101329650565262,0.28073278584965256
17,,2018-10-15 00:22:54,48.755 sec,17.0,0.4006324641296762,0.9452772332893685,0.7535484819706495,2.7487854002754664,0.3191892227464614,0.3849642075307776,0.48403315620139953,0.7917496221054413,3.101329650565262,0.29791535060012636
18,,2018-10-15 00:22:55,48.992 sec,18.0,0.3989965338418293,0.8763806407384284,0.7570878790897513,2.8716534526511355,0.3138112973308504,0.3848502569562002,0.47615645123317457,0.7920247245230885,3.0504881808838644,0.30120025268477574
19,,2018-10-15 00:22:59,53.080 sec,47.0,0.38135828262853644,0.4973089057070162,0.7945493804706844,3.4180299945272368,0.272947309625768,0.37878428447474255,0.443816113165079,0.8070464529221464,3.2538540596094556,0.27150979153506
20,,2018-10-15 00:22:59,53.686 sec,50.0,0.38087222763037143,0.4922244115459466,0.7959180560814888,3.4307364257336577,0.26059703345125057,0.3783404253442697,0.4427789991826625,0.8080929698956772,3.304695529290853,0.26304485154769425
