,model_id,mean_per_class_error,logloss,rmse,mse
0,GBM_grid_0_AutoML_20181016_163834_model_4,0.06962788209509989,0.08866444565361607,0.1618195106410544,0.026185554024110318
7,StackedEnsemble_BestOfFamily_0_AutoML_20181016_163834,0.0914168542404004,0.10094174727760406,0.16727495081323385,0.0279809091695698
27,DRF_0_AutoML_20181016_163834,0.14298307023649098,0.1754932401437525,0.22536138658847066,0.050787754565078114
32,GLM_grid_0_AutoML_20181016_163834_model_0,0.2268745464911372,0.2821377739706177,0.3075615505390481,0.09459410736998344
34,XRT_0_AutoML_20181016_163834,0.2506590686964119,0.2647055205562151,0.26563961597259683,0.07056440557406872
36,DeepLearning_0_AutoML_20181016_163834,0.4023025107731493,0.3016985719626049,0.3156263531619399,0.0996199948103056
