,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_classification_error,validation_rmse,validation_logloss,validation_classification_error
0,,2018-10-16 16:39:20, 6.423 sec,0.0,0.75,1.386294361119894,0.47275641025641024,0.75,1.3862943611198935,0.4692556634304207
1,,2018-10-16 16:39:20, 6.454 sec,5.0,0.5301369786372323,0.7637263493133332,0.16025641025641027,0.5261178627753287,0.7553850321980632,0.13592233009708737
2,,2018-10-16 16:39:20, 6.506 sec,10.0,0.42151777035326676,0.5361905221021396,0.14423076923076922,0.4160802292632152,0.5283560271130155,0.12944983818770225
3,,2018-10-16 16:39:20, 6.535 sec,15.0,0.3644907861224786,0.41991876377386045,0.10176282051282051,0.36417239979373994,0.4217787573513769,0.10679611650485436
4,,2018-10-16 16:39:20, 6.560 sec,20.0,0.3194975682634546,0.3299451615087618,0.07612179487179487,0.32323676044818667,0.33780419657467153,0.09385113268608414
5,,2018-10-16 16:39:21, 6.587 sec,25.0,0.291165517643515,0.27816132897075907,0.07612179487179487,0.29935773358469253,0.2914235887455372,0.08414239482200647
6,,2018-10-16 16:39:21, 6.615 sec,30.0,0.2693995890151458,0.23934779626913633,0.058493589743589744,0.27999168232425514,0.2545875836617604,0.06796116504854369
7,,2018-10-16 16:39:21, 6.643 sec,35.0,0.24858385456547222,0.20908642571979505,0.05048076923076923,0.2605544653366024,0.224449087041173,0.05825242718446602
8,,2018-10-16 16:39:21, 6.670 sec,40.0,0.23364534605587475,0.18783184108058126,0.05128205128205128,0.2515718481832095,0.20999081844719508,0.061488673139158574
9,,2018-10-16 16:39:21, 6.699 sec,45.0,0.22184362478713562,0.17128455238554843,0.03766025641025641,0.24566866141499194,0.20036101849005308,0.05177993527508091
10,,2018-10-16 16:39:21, 6.726 sec,50.0,0.20992300567110786,0.15639534505107439,0.036057692307692304,0.2362347096766448,0.18776469506807283,0.05177993527508091
11,,2018-10-16 16:39:21, 6.755 sec,55.0,0.2014284792832833,0.14494106458670458,0.035256410256410256,0.22989715069603991,0.17948805627050762,0.05177993527508091
12,,2018-10-16 16:39:21, 6.782 sec,60.0,0.18781988470910654,0.13008238666937927,0.030448717948717948,0.21918133828183695,0.16541159695538898,0.04854368932038835
13,,2018-10-16 16:39:21, 6.809 sec,65.0,0.17729226483041272,0.11837204008070795,0.024839743589743588,0.21387590139694984,0.1568011120029388,0.045307443365695796
14,,2018-10-16 16:39:21, 6.838 sec,70.0,0.16746094988726937,0.10904982198049819,0.022435897435897436,0.20625247152686182,0.14847290042201305,0.045307443365695796
15,,2018-10-16 16:39:21, 6.865 sec,75.0,0.15835739160566803,0.10012054742538908,0.017628205128205128,0.2029945212473379,0.14294652706100133,0.038834951456310676
16,,2018-10-16 16:39:21, 6.893 sec,80.0,0.15057567833009963,0.09235527702965654,0.016025641025641024,0.19844497482335371,0.13595968133573852,0.032362459546925564
17,,2018-10-16 16:39:21, 6.919 sec,85.0,0.14222776483556498,0.08498031251778317,0.013621794871794872,0.1927558428927425,0.129288565437929,0.038834951456310676
18,,2018-10-16 16:39:21, 6.947 sec,90.0,0.1354303288197879,0.07896042497654192,0.01282051282051282,0.18981045969709812,0.12538617813416633,0.042071197411003236
19,,2018-10-16 16:39:21, 6.978 sec,95.0,0.13125551557322201,0.07511057263311491,0.01282051282051282,0.18860790145075462,0.12317329004204068,0.042071197411003236
20,,2018-10-16 16:39:21, 7.002 sec,100.0,0.1253837241404449,0.07057911908328411,0.008814102564102564,0.18814715199709856,0.12282295198274207,0.042071197411003236
21,,2018-10-16 16:39:21, 7.024 sec,105.0,0.11905070542813322,0.06509725479102878,0.008814102564102564,0.18392464602995096,0.11819760535909878,0.038834951456310676
22,,2018-10-16 16:39:21, 7.050 sec,110.0,0.11453525708239215,0.0615718748220635,0.008012820512820512,0.18297878616159602,0.11745413510382675,0.038834951456310676
23,,2018-10-16 16:39:21, 7.076 sec,115.0,0.10996677100572694,0.058209693410791456,0.005608974358974359,0.18268525626417473,0.11655633391730576,0.038834951456310676
24,,2018-10-16 16:39:21, 7.103 sec,120.0,0.10504706737622564,0.05446680910688652,0.004006410256410256,0.1802038364266229,0.1138301865729059,0.042071197411003236
25,,2018-10-16 16:39:21, 7.129 sec,125.0,0.1007112055188226,0.05122074765087486,0.004006410256410256,0.1785335045224983,0.11163539381493225,0.042071197411003236
26,,2018-10-16 16:39:21, 7.156 sec,130.0,0.09737334430267382,0.04851771407261739,0.004006410256410256,0.17805283854085413,0.11101239037767949,0.042071197411003236
27,,2018-10-16 16:39:21, 7.184 sec,135.0,0.09341948090924275,0.045822468738979674,0.004006410256410256,0.17748941832501977,0.1103638363951632,0.042071197411003236
28,,2018-10-16 16:39:21, 7.210 sec,140.0,0.09042367226642027,0.04373391263075227,0.004807692307692308,0.17794264387555725,0.1102843420400417,0.042071197411003236
29,,2018-10-16 16:39:21, 7.235 sec,145.0,0.08756076928604323,0.04178061892153704,0.004807692307692308,0.17893080128292224,0.11165604509758559,0.038834951456310676
30,,2018-10-16 16:39:21, 7.261 sec,150.0,0.0847061219576912,0.039870673065405614,0.004006410256410256,0.17653604258386238,0.1105466651170786,0.038834951456310676
31,,2018-10-16 16:39:21, 7.288 sec,155.0,0.08168873995071115,0.03777316615446464,0.003205128205128205,0.17507631215272793,0.10883330770636018,0.038834951456310676
32,,2018-10-16 16:39:21, 7.315 sec,160.0,0.07929241331764184,0.03623321861148742,0.002403846153846154,0.175169890712528,0.10998693255530384,0.038834951456310676
