,model_id,auc,logloss,mean_per_class_error,rmse,mse
1,StackedEnsemble_BestOfFamily_0_AutoML_20181015_111434,0.8197171475932605,0.4273865416139356,0.2633589448261737,0.3715001581729408,0.13801236752252002
2,XRT_0_AutoML_20181015_111434,0.812335195349562,0.4447934535672111,0.2673728328005603,0.3778459624948687,0.1427675713736737
3,DRF_0_AutoML_20181015_111434,0.801823355949878,0.4487640929923824,0.2796919802583908,0.37921355181104216,0.14380291787714594
4,GBM_grid_0_AutoML_20181015_111434_model_2,0.7952209788974901,0.4494997976981752,0.2855438065609581,0.3813409951581184,0.1454209545881841
9,DeepLearning_0_AutoML_20181015_111434,0.7680374509358316,0.4739807699460426,0.2996272840767341,0.3949261394861607,0.15596665564944248
10,GLM_grid_0_AutoML_20181015_111434_model_0,0.7593436121257828,0.475451171216769,0.31123731531867405,0.39559143095072463,0.15649258024164192
