,,0,1,Error,Rate
0,0,22932.0,1478.0,0.0605, (1478.0/24410.0)
1,1,1465.0,6418.0,0.1858, (1465.0/7883.0)
2,Total,24397.0,7896.0,0.0911, (2943.0/32293.0)
