,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2018-10-15 11:18:15,20.018 sec,0.0,0.42955745476053386,0.5557697667859607,0.5,1.0,0.7558913696466727,0.4307970906362748,0.558125215598921,0.5,1.0,0.7538074260541221
1,,2018-10-15 11:18:15,20.284 sec,5.0,0.38914681775759946,0.47056918096804884,0.8643687485393586,4.071249586937354,0.2034806304771932,0.40447651014920044,0.4998829993620798,0.7821990281432797,2.9586394506299074,0.3107614852108244
2,,2018-10-15 11:18:15,20.584 sec,10.0,0.3674236918363737,0.4276946175131292,0.8785315742529662,4.083854074822609,0.17951258786733967,0.3938199331598371,0.4763766069161767,0.7864978517192904,3.401808537832311,0.3076148521082442
3,,2018-10-15 11:18:15,20.889 sec,15.0,0.3529825221016457,0.3994503829242257,0.8902947230655132,4.071171298192725,0.17170903911064317,0.38886850472549245,0.46502951163814915,0.7880702641277243,3.3510352760736195,0.2599118942731278
4,,2018-10-15 11:18:16,21.247 sec,20.0,0.3410349941951841,0.3768308644315634,0.9026983636087447,4.083854074822609,0.15297432880190753,0.3863223102842652,0.45864877612840044,0.7905263262129172,3.3510352760736195,0.27048458149779736
5,,2018-10-15 11:18:16,21.575 sec,25.0,0.3310762986530281,0.358557002270723,0.911663033977617,4.071171298192725,0.1444895178521661,0.3846679263439139,0.45473034671268414,0.7919634360335461,3.401808537832311,0.24015103838892385
6,,2018-10-15 11:18:16,21.912 sec,30.0,0.3208088335620081,0.3408236544729992,0.9233250649620008,4.083854074822609,0.13278419471712136,0.38357034549847846,0.4522619778765081,0.7934609838555416,3.2494887525562377,0.24103209565764633
7,,2018-10-15 11:18:17,22.201 sec,35.0,0.3119894601824553,0.3256578741798078,0.9319155097209013,4.096536851452493,0.12383488681757657,0.3820965105603815,0.4488216866668433,0.7968236159612323,3.3510352760736195,0.23914411579609818
8,,2018-10-15 11:18:17,22.547 sec,40.0,0.3031810659721291,0.3113727197271706,0.940673675216136,4.096536851452493,0.11200569782925092,0.3806774479140098,0.44557586866639376,0.8006872944638449,3.401808537832311,0.2577721837633732
9,,2018-10-15 11:18:18,22.977 sec,45.0,0.2962193896518405,0.29987480460537547,0.9465389405886573,4.096536851452493,0.10516210943548138,0.38017913744225146,0.4447071484289001,0.8015525054283228,3.5033550613496938,0.25349276274386406
10,,2018-10-15 11:18:18,23.295 sec,50.0,0.2911395314804686,0.2916328989297486,0.9505714099221391,4.096536851452493,0.10119840213049268,0.3800392638383614,0.44440839769177704,0.8020609785288024,3.5033550613496938,0.2460667086217747
11,,2018-10-15 11:18:18,23.620 sec,55.0,0.28542225726327874,0.2827957569584507,0.9550518456556595,4.096536851452493,0.09491221007648716,0.37962537774146704,0.4437955556917569,0.8028238802494416,3.452581799591002,0.250471994965387
12,,2018-10-15 11:18:18,23.855 sec,59.0,0.28140227811470264,0.2766115381380504,0.9579100281809918,4.096536851452493,0.09113430155141981,0.37948119741882,0.4434532895430239,0.8033619747997437,3.3510352760736195,0.2473253618628068
