,,0,1,Error,Rate
0,0,17903.0,6507.0,0.2666, (6507.0/24410.0)
1,1,2326.0,5557.0,0.2951, (2326.0/7883.0)
2,Total,20229.0,12064.0,0.2735, (8833.0/32293.0)
