,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_classification_error,validation_rmse,validation_logloss,validation_classification_error
0,,2018-10-15 18:22:07, 5.056 sec,0.0,0.75,1.386294361119894,0.4867469879518072,0.75,1.3862943611198935,0.4627831715210356
1,,2018-10-15 18:22:07, 5.071 sec,5.0,0.547478933917135,0.8029740555196558,0.1742971887550201,0.5463258827183868,0.8001614463418784,0.1650485436893204
2,,2018-10-15 18:22:07, 5.095 sec,10.0,0.4377798083218026,0.5686801449461578,0.13734939759036144,0.4368723976536252,0.5667518198512818,0.1488673139158576
3,,2018-10-15 18:22:07, 5.109 sec,15.0,0.38000653735626455,0.44644818199888314,0.11646586345381527,0.378634026531531,0.44381427285652353,0.11974110032362459
4,,2018-10-15 18:22:07, 5.124 sec,20.0,0.3383454856114058,0.36312696413015805,0.08835341365461848,0.33698762280914485,0.36107333616838977,0.08414239482200647
5,,2018-10-15 18:22:07, 5.139 sec,25.0,0.3088719202804741,0.30721735715602083,0.07309236947791165,0.3070187338060412,0.3046588698111363,0.07119741100323625
6,,2018-10-15 18:22:07, 5.154 sec,30.0,0.28409141433308527,0.26415099190793323,0.06907630522088354,0.2807802026014297,0.26001399701381867,0.061488673139158574
7,,2018-10-15 18:22:07, 5.175 sec,35.0,0.2644996527582276,0.23153899093550392,0.061847389558232935,0.2630308729778022,0.23004044359623987,0.05177993527508091
8,,2018-10-15 18:22:07, 5.192 sec,40.0,0.2472240413413104,0.20525968991820004,0.0570281124497992,0.24686085814363753,0.20506703525833808,0.04854368932038835
9,,2018-10-15 18:22:07, 5.208 sec,45.0,0.23361183061598434,0.1865654254219422,0.04497991967871486,0.2348730657503746,0.18868776838798212,0.038834951456310676
10,,2018-10-15 18:22:07, 5.223 sec,50.0,0.21919512626146823,0.16768698144478783,0.04578313253012048,0.2238314472546166,0.17299138372671757,0.042071197411003236
11,,2018-10-15 18:22:07, 5.239 sec,55.0,0.20894588711324386,0.15400312779177003,0.03855421686746988,0.21476408690647414,0.16011467496780923,0.045307443365695796
12,,2018-10-15 18:22:07, 5.254 sec,60.0,0.19903630514119958,0.14276933495651467,0.03293172690763052,0.20674562127466753,0.1506046773147972,0.042071197411003236
13,,2018-10-15 18:22:07, 5.268 sec,65.0,0.18689951779570974,0.12979310813407888,0.027309236947791166,0.19609095330739884,0.1380441890302195,0.03559870550161812
14,,2018-10-15 18:22:07, 5.283 sec,70.0,0.17715622197997688,0.11915753945140684,0.021686746987951807,0.186187153641185,0.12700446514395877,0.022653721682847898
15,,2018-10-15 18:22:07, 5.298 sec,75.0,0.16853225609918343,0.11037344084422684,0.020080321285140562,0.17940708689355686,0.11951994618313887,0.022653721682847898
16,,2018-10-15 18:22:07, 5.313 sec,80.0,0.1595494704134434,0.10229858739288686,0.016867469879518072,0.1717128443681455,0.11225790281972575,0.022653721682847898
17,,2018-10-15 18:22:07, 5.332 sec,85.0,0.1541837289808501,0.09664600814507389,0.014457831325301205,0.1707185344048593,0.10981492311655543,0.022653721682847898
18,,2018-10-15 18:22:07, 5.349 sec,90.0,0.14693025815608296,0.09040040105322539,0.014457831325301205,0.16595847373288605,0.10516360882559876,0.022653721682847898
19,,2018-10-15 18:22:07, 5.384 sec,95.0,0.14035816739347082,0.0843305328609302,0.01285140562248996,0.160000800147831,0.09949855935753217,0.022653721682847898
20,,2018-10-15 18:22:07, 5.400 sec,100.0,0.13552547432972262,0.08015521155688413,0.012048192771084338,0.15895475950085577,0.09767098424063843,0.022653721682847898
21,,2018-10-15 18:22:07, 5.417 sec,105.0,0.12809028060515718,0.0741518481265396,0.00963855421686747,0.15809786787025243,0.09570205489629519,0.022653721682847898
22,,2018-10-15 18:22:07, 5.433 sec,110.0,0.12243800305069087,0.06919279630505065,0.007228915662650603,0.1545522235673896,0.09123542921903602,0.022653721682847898
23,,2018-10-15 18:22:07, 5.448 sec,115.0,0.12002154784470173,0.06691301752453979,0.007228915662650603,0.15241637069535655,0.08897135736514517,0.025889967637540454
24,,2018-10-15 18:22:07, 5.463 sec,120.0,0.11491822438870757,0.06277667863318484,0.00642570281124498,0.148095318788781,0.0851331143040241,0.022653721682847898
25,,2018-10-15 18:22:08, 5.478 sec,125.0,0.11076822881476474,0.05946290211772576,0.005622489959839358,0.14693797420625374,0.08332834198509542,0.025889967637540454
26,,2018-10-15 18:22:08, 5.506 sec,130.0,0.10631679367864763,0.05616174388559419,0.00642570281124498,0.14236202990105207,0.07945054561399018,0.025889967637540454
27,,2018-10-15 18:22:08, 5.521 sec,135.0,0.10328341033873933,0.05367454779704849,0.00642570281124498,0.14111646454299184,0.07755861564851434,0.025889967637540454
28,,2018-10-15 18:22:08, 5.537 sec,140.0,0.09981235608590802,0.05112100185249557,0.005622489959839358,0.13936341881323508,0.07571069700748741,0.025889967637540454
29,,2018-10-15 18:22:08, 5.551 sec,145.0,0.09733852310942558,0.04901868166591326,0.00642570281124498,0.1387209075578019,0.07467290018451561,0.025889967637540454
30,,2018-10-15 18:22:08, 5.566 sec,150.0,0.09443864087636339,0.04679525617462299,0.004016064257028112,0.13794672355048665,0.07320908608869547,0.02912621359223301
31,,2018-10-15 18:22:08, 5.580 sec,155.0,0.09195458514973429,0.04492057127790047,0.00321285140562249,0.1371565400630999,0.07209193245739681,0.02912621359223301
32,,2018-10-15 18:22:08, 5.596 sec,160.0,0.0897773152994629,0.04357214513118071,0.00321285140562249,0.1380440193305986,0.07223263149811934,0.025889967637540454
33,,2018-10-15 18:22:08, 5.615 sec,165.0,0.08703660736861822,0.041794440651160863,0.0024096385542168677,0.13569174080967747,0.07030377788087044,0.025889967637540454
34,,2018-10-15 18:22:08, 5.633 sec,170.0,0.08525738064291279,0.0403006464666186,0.0024096385542168677,0.13373702091824033,0.06828992605155657,0.025889967637540454
35,,2018-10-15 18:22:08, 5.651 sec,175.0,0.08313969852134061,0.03890110060602828,0.00321285140562249,0.13403411536195484,0.06807251357886306,0.022653721682847898
36,,2018-10-15 18:22:08, 5.669 sec,180.0,0.08134321843472327,0.03739924164027003,0.00321285140562249,0.13147846744225924,0.06592634728857545,0.022653721682847898
37,,2018-10-15 18:22:08, 5.687 sec,185.0,0.07915026538197092,0.03588381832813179,0.00321285140562249,0.13203915599987762,0.06565534867258101,0.025889967637540454
38,,2018-10-15 18:22:08, 5.703 sec,190.0,0.0776929790926409,0.034975759886583434,0.00321285140562249,0.13235523416270223,0.06571076216036256,0.022653721682847898
39,,2018-10-15 18:22:08, 5.719 sec,195.0,0.07638159669362338,0.034026317061375926,0.00321285140562249,0.13215074659616097,0.06507062241811422,0.022653721682847898
40,,2018-10-15 18:22:08, 5.735 sec,200.0,0.07461772907382866,0.03278697614262593,0.00321285140562249,0.13029044710572163,0.06352862696173227,0.022653721682847898
41,,2018-10-15 18:22:08, 5.751 sec,205.0,0.07283781944852037,0.031727221517371625,0.0024096385542168677,0.12934336400999966,0.06274475446204617,0.025889967637540454
42,,2018-10-15 18:22:08, 5.767 sec,210.0,0.0716082635030619,0.031017683867616917,0.0024096385542168677,0.12839299187454087,0.06223311472954286,0.025889967637540454
43,,2018-10-15 18:22:08, 5.776 sec,212.0,0.07088378852546888,0.030736205207988795,0.0024096385542168677,0.1287264960863205,0.06240943739684459,0.025889967637540454
