,,timestamp,duration,training_speed,epochs,iterations,samples,training_rmse,training_logloss,training_r2,training_classification_error,validation_rmse,validation_logloss,validation_r2,validation_classification_error
0,,2018-10-15 18:22:09, 0.000 sec,,0.0,0,0.0,,,,,,,,
1,,2018-10-15 18:22:09, 1.237 sec,186000 obs/sec,1.0457831325301206,1,1302.0,0.4628085621566838,0.6780953024940881,0.7294514337636169,0.27228915662650605,0.45313579488318545,0.6606239088140743,0.7220366736687138,0.2621359223300971
2,,2018-10-15 18:22:09, 1.308 sec,201828 obs/sec,11.347791164658634,11,14128.0,0.23656329329963433,0.18207870584127683,0.929313385492203,0.06506024096385542,0.25274080737111293,0.20294484368045546,0.9135268066981796,0.08414239482200647
