,model_id,mean_per_class_error,logloss,rmse,mse
0,StackedEnsemble_BestOfFamily_0_AutoML_20181015_182139,0.08403213562753037,0.0988486001503061,0.16592919990262586,0.02753249938032557
1,GBM_grid_0_AutoML_20181015_182139_model_4,0.0909775641025641,0.0976029892041668,0.16997340055565316,0.028890956896452512
37,DRF_0_AutoML_20181015_182139,0.16657557354925778,0.23363487064898025,0.23216893101330996,0.05390241252786307
47,GLM_grid_0_AutoML_20181015_182139_model_0,0.2390445062977957,0.292093283082747,0.3133872686299909,0.09821158013936612
48,XRT_0_AutoML_20181015_182139,0.2473249831309041,0.23609257279612564,0.24880444966402784,0.06190365417261976
52,DeepLearning_0_AutoML_20181015_182139,0.34602648448043183,0.2742351339325952,0.2994171174721806,0.08965061023534958
