,,0,1,Error,Rate
0,0,23133.0,1135.0,0.0468, (1135.0/24268.0)
1,1,1455.0,6423.0,0.1847, (1455.0/7878.0)
2,Total,24588.0,7558.0,0.0806, (2590.0/32146.0)
