,,0,1,Error,Rate
0,0,18395.0,5873.0,0.242, (5873.0/24268.0)
1,1,2501.0,5377.0,0.3175, (2501.0/7878.0)
2,Total,20896.0,11250.0,0.2605, (8374.0/32146.0)
