,model_id,auc,logloss,mean_per_class_error,rmse,mse
1,StackedEnsemble_BestOfFamily_0_AutoML_20181015_200653,0.8226028801134225,0.42532050366493607,0.25898362442779,0.3708237759884862,0.137510272838359
2,XRT_0_AutoML_20181015_200653,0.8118098063625891,0.4481742943489804,0.2678314838622101,0.3788391152576028,0.14351907524916327
3,DRF_0_AutoML_20181015_200653,0.8049223168567062,0.4549359216433493,0.27841542062689745,0.37895968980694733,0.14361044649857782
4,GBM_grid_0_AutoML_20181015_200653_model_2,0.800576210357783,0.44544637767920336,0.2772292134882238,0.3799162408736835,0.14433635007959073
9,GLM_grid_0_AutoML_20181015_200653_model_0,0.7627987248300719,0.4744712492343753,0.30761208102146825,0.39523053280513065,0.15620717406142748
10,DeepLearning_0_AutoML_20181015_200653,0.7131323271827125,0.5124877401929611,0.3443055414504187,0.4122339597197499,0.16993683754622446
