,,0,1,Error,Rate
0,0,21458.0,2933.0,0.1202, (2933.0/24391.0)
1,1,1914.0,5964.0,0.243, (1914.0/7878.0)
2,Total,23372.0,8897.0,0.1502, (4847.0/32269.0)
