,,0,1,Error,Rate
0,0,17423.0,6968.0,0.2857, (6968.0/24391.0)
1,1,2163.0,5715.0,0.2746, (2163.0/7878.0)
2,Total,19586.0,12683.0,0.283, (9131.0/32269.0)
