,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2018-10-12 16:51:24,23.288 sec,0.0,0.4295733041584722,0.5557998392483867,0.5,1.0,0.7558647618457343,0.4288790680096918,0.5544836593371283,0.5,1.0,0.7570293783886017
1,,2018-10-12 16:51:25,23.697 sec,5.0,0.4004289264473802,0.49211103100156395,0.8211515222159873,3.8170997023493727,0.2625120084291425,0.40633907384261303,0.5046912129245786,0.7669114466847391,3.135789655768898,0.3143361492876056
2,,2018-10-12 16:51:25,24.122 sec,10.0,0.38419858626117714,0.458084007134488,0.8358721007853884,3.9946392233888783,0.2396727509374322,0.3967649873364885,0.48358212822053903,0.7723542806784751,3.241132589517384,0.3300970873786408
3,,2018-10-12 16:51:26,24.474 sec,15.0,0.37409603564094773,0.43725435789616507,0.8436983954259033,3.9819578290289135,0.22541758343921411,0.3916548867999651,0.4723508019574941,0.7752984344980877,3.2925791385573433,0.28659689824738366
4,,2018-10-12 16:51:26,24.812 sec,20.0,0.36780825050954113,0.4239387148843709,0.8498722742311414,4.083408983908631,0.22634726827605442,0.38938441582406863,0.4672016776809928,0.7761332005959011,3.189686040477426,0.293909973521624
5,,2018-10-12 16:51:26,25.149 sec,25.0,0.3605031099579029,0.4094450805837599,0.8606263012269569,4.058046195188702,0.21175121633766153,0.386033741837918,0.45988370120132077,0.7835104827191836,3.3440256875973016,0.28836212331357963
6,,2018-10-12 16:51:27,25.490 sec,30.0,0.35421706453798646,0.39733826955283386,0.8715072822079911,4.0707275895486665,0.19768198580681148,0.3841825407996366,0.4559424985451003,0.7872037479251853,3.39547223663726,0.2744924977934687
7,,2018-10-12 16:51:27,25.743 sec,35.0,0.35014212048272675,0.38931432400045407,0.8771580160857613,4.083408983908631,0.17815860423316496,0.38297971764957756,0.453258855025136,0.7899475509667142,3.2925791385573433,0.2502836968856386
8,,2018-10-12 16:51:27,25.990 sec,40.0,0.346138319422369,0.38173007000932313,0.8828925793018618,4.0707275895486665,0.1730763271251046,0.38186868444734967,0.4508130187523615,0.7922069856905637,3.2925791385573433,0.2545706720464002
9,,2018-10-12 16:51:27,26.254 sec,45.0,0.34289386867272326,0.3757259056026993,0.8872745643666463,4.096090378268596,0.17000836716353157,0.38140462162392297,0.4498892013974403,0.7929700991589417,3.2925791385573433,0.2613793973017274
10,,2018-10-12 16:51:28,26.544 sec,50.0,0.33870232777770676,0.36818352950742345,0.8931191314714332,4.096090378268596,0.16489510056090986,0.3806809855947191,0.4484168203220873,0.7941371121898668,3.241132589517384,0.26869247257596773
11,,2018-10-12 16:51:28,26.797 sec,55.0,0.3351856778030094,0.3619539375427504,0.8980282322722989,4.096090378268596,0.15779850630636214,0.3805355056031235,0.4480344268458437,0.7943655103482301,3.3440256875973016,0.2654141974530324
12,,2018-10-12 16:51:28,27.080 sec,60.0,0.332051244820159,0.3564937908827883,0.9027151785611224,4.083408983908631,0.15597012612724287,0.3805017275280665,0.44790067953123797,0.7944164623687997,3.2925791385573433,0.2633967973773799
13,,2018-10-12 16:51:28,27.332 sec,65.0,0.3297292640790312,0.3521907404969161,0.9059007610723449,4.096090378268596,0.15559825219250675,0.3802897383101208,0.44767685942904206,0.7946799521647391,3.2925791385573433,0.2516706594376497
14,,2018-10-12 16:51:29,27.611 sec,70.0,0.3266661406271166,0.3468213307223732,0.9101552274956399,4.096090378268596,0.15070191205181444,0.37994294419479535,0.4471257878650365,0.7954902146190725,3.2925791385573433,0.2611272222922708
15,,2018-10-12 16:51:29,27.776 sec,72.0,0.32565882568630944,0.3451181239460319,0.9117834411743543,4.096090378268596,0.15020608013883294,0.37986623990474033,0.4469915603027591,0.7958012855639918,3.3440256875973016,0.2766359853738494
